timestamp,time_period_end,time_open,time_close,open,high,low,close,volume,trades
2011-09-13 00:00:00+00:00,2011-09-14 00:00:00+00:00,2011-09-13 13:53:36+00:00,2011-09-13 19:34:36+00:00,5.8,6.0,5.65,5.97,58.37138238,12
2011-09-14 00:00:00+00:00,2011-09-15 00:00:00+00:00,2011-09-14 07:00:00+00:00,2011-09-14 15:42:31+00:00,5.58,5.72,5.52,5.53,61.14598362000001,14
2011-09-15 00:00:00+00:00,2011-09-16 00:00:00+00:00,2011-09-15 08:39:33+00:00,2011-09-15 15:11:22+00:00,5.12,5.24,5.0,5.13,80.14079519999999,6
2011-09-16 00:00:00+00:00,2011-09-17 00:00:00+00:00,2011-09-16 07:02:06+00:00,2011-09-16 16:13:02+00:00,4.82,4.87,4.8,4.85,39.9140068,4
2011-09-17 00:00:00+00:00,2011-09-18 00:00:00+00:00,2011-09-17 15:32:08+00:00,2011-09-17 15:32:08+00:00,4.87,4.87,4.87,4.87,0.3,1
2011-09-18 00:00:00+00:00,2011-09-19 00:00:00+00:00,2011-09-18 10:06:49+00:00,2011-09-18 20:11:23+00:00,4.87,4.92,4.81,4.92,119.8128,8
2011-09-19 00:00:00+00:00,2011-09-20 00:00:00+00:00,2011-09-19 13:47:03+00:00,2011-09-19 13:47:03+00:00,4.9,4.9,4.9,4.9,20.0,1
2011-09-20 00:00:00+00:00,2011-09-21 00:00:00+00:00,2011-09-20 06:51:41+00:00,2011-09-20 16:38:45+00:00,4.92,5.66,4.92,5.66,89.28071068,17
2011-09-21 00:00:00+00:00,2011-09-22 00:00:00+00:00,2011-09-21 06:43:16+00:00,2011-09-21 16:47:28+00:00,5.7,5.79,5.66,5.66,17.629322379999998,5
2011-09-22 00:00:00+00:00,2011-09-23 00:00:00+00:00,2011-09-22 06:19:59+00:00,2011-09-22 13:32:57+00:00,5.68,5.72,5.68,5.72,43.77842238,5
2011-09-23 00:00:00+00:00,2011-09-24 00:00:00+00:00,2011-09-23 09:09:02+00:00,2011-09-23 09:09:14+00:00,5.7,5.72,5.7,5.72,20.68003681,4
2011-09-24 00:00:00+00:00,2011-09-25 00:00:00+00:00,2011-09-24 09:15:29+00:00,2011-09-24 16:18:49+00:00,5.7,5.76,5.68,5.68,90.58706633,14
2011-09-25 00:00:00+00:00,2011-09-26 00:00:00+00:00,2011-09-25 12:13:23+00:00,2011-09-25 20:15:52+00:00,6.05,6.05,6.05,6.05,12.22,2
2011-09-26 00:00:00+00:00,2011-09-27 00:00:00+00:00,2011-09-26 07:47:05+00:00,2011-09-26 16:44:00+00:00,6.06,6.06,4.8,4.8,39.57846334,11
2011-09-27 00:00:00+00:00,2011-09-28 00:00:00+00:00,2011-09-27 11:35:56+00:00,2011-09-27 11:36:06+00:00,4.85,4.92,4.85,4.92,24.3545,4
2011-09-28 00:00:00+00:00,2011-09-29 00:00:00+00:00,2011-09-28 06:37:03+00:00,2011-09-28 13:18:45+00:00,4.9,4.91,4.82,4.82,83.05332580000001,14
